
MAME GP2X GAMELIST (1128 romsets)

Name      Description
jrpacman  "Jr. Pac Man"
jumpbug   "Jump Bug"
jumpcoas  "Jump Coaster"
jumping   "Jumping"
jumpshot  "Jump Shot"
junglek   "Jungle King"
jungler   "Jungler (Konami)"
junglers  "Jungler (Stern)"
junofrst  "Juno First"
kabukikl  "Kabuki Klash / Far East of Eden"
kamikaze  "Kamikaze"
kangarob  "Kangaroo (bootleg)"
kangaroo  "Kangaroo"
kaos      "Kaos"
karatedo  "Taisen Karate Dou (VS version)"
karnov    "Karnov (US)"
karnov_r  "Karnov's Revenge / Fighter's History Dynamite"
karnovj   "Karnov (Japan)"
kchamp    "Karate Champ"
kchampvs  "Karate Champ (VS version)"
kick      "Kick (mirror version)"
kicka     "Kick (upright version)"
kicker    "Kicker"
kickridr  "Kick Rider"
kidniki   "Kid Niki, Radical Ninja"
killcom   "Killer Comet"
kingball  "King & Balloon"
kingofb   "King of Boxer (English)"
kingofbj  "King of Boxer (Japanese?)"
kingofm   "King of the Monsters"
kizuna    "Kizuna Encounter Super Tag Battle"
klax      "Klax (set 1)"
klax2     "Klax (set 2)"
klax3     "Klax (set 3)"
knights   "Knights of the Round (World)"
knightsj  "Knights of the Round (Japan)"
kod       "King Of Dragons (World)"
kodb      "King Of Dragons (bootleg)"
kodj      "King of Dragons (Japan)"
kof94     "The King of Fighters '94"
kof95     "The King of Fighters '95"
kof96     "The King of Fighters '96"
kof97     "The King of Fighters '97"
konamigt  "Konami GT"
kotm2     "King of the Monsters 2"
kram      "Kram (set 1)"
kram2     "Kram (set 2)"
kroozr    "Kozmik Kroozr"
krull     "Krull"
ktiger    "Kyukyoku Tiger"
kungfub   "Kung Fu Master (bootleg set 1)"
kungfub2  "Kung Fu Master (bootleg set 2)"
kungfud   "Kung Fu Master (Data East)"
kungfum   "Kung Fu Master"
kuniokub  "Nekketsu Kouha Kunio Kun (Jap bootleg)"
ladybug   "Lady Bug"
ladybugb  "Lady Bug (bootleg)"
lagunar   "Laguna Racer"
lastblad  "Last Blade / Gekka No Kenshi"
lastduel  "Last Duel"
lastmiss  "Last Mission (Rev 6)"
lastmss2  "Last Mission (Rev 5)"
lazercmd  "Lazer Command"
lbowling  "League Bowling"
ldrun     "Lode Runner (set 1)"
ldrun2p   "Lode Runner IV - Teikoku Karano Dasshutsu"
ldruna    "Lode Runner (set 2)"
legendos  "Legend of Success Joe / Ashita No Joe Densetsu"
legofair  "The Legend of Air Cavalry"
leprechn  "Leprechaun"
liberatr  "Liberator"
lifefrce  "Lifeforce (US)"
lifefrcj  "Lifeforce (Japan)"
liquidk   "Liquid Kids"
lizwiz    "Lizard Wizard"
llander   "Lunar Lander (rev 2)"
llander1  "Lunar Lander (rev 1)"
lnc       "Lock'n'Chase"
locomotn  "Loco-Motion"
lomakaj   "Legend of Makaj"
